"","Scenario","Payload"
"40","Unmanned aerial vehicle imagery was used with machine-learning classifiers to map and quantify ghost crab burrow openings as a non-invasive bioindicator of sandy beach health.","RGB"
"41","Unmanned aerial vehicle (drone) acquired RGB imagery was used for individual tree crown detection and segmentation, species classification, and forest resource inventory in complex forest areas.","RGB"
"42","UAV-mounted LiDAR and aerial RGB imagery were used to generate a high-resolution canopy height model for quantifying vegetation structure at mourning warbler song posts to study bird microhabitat use.","RGB"
"43","UAV-mounted RGB camera used to collect aerial imagery of coastal cliffs for plant species recognition, mapping, area measurement, and individual counts to support biodiversity monitoring.","RGB"
"44","The drone’s low-altitude RGB imagery was used with automated object-based image analysis to detect, count, and classify seeds and seedlings for rapid, scalable ecological restoration monitoring.","RGB"
"45","A Parrot Bluegrass drone equipped with a multispectral camera (Parrot Sequoia+) and an RGB camera (Zenmuse X5) was used to identify glacial outflow zones and determine meltwater turbidity values in front of Antarctic glaciers by mapping specific spectral bands.","RGB"
"46","UAV-based RGB imagery was used with a deep learning framework for semi-automatic patch-scale monitoring of the invasive plant Spartina alterniflora.","RGB"
"47","UAV-mounted RGB camera imagery used for photogrammetric processing to generate digital elevation models, monitoring surface soil movement and topographic recession of the coal mine waste pile","RGB"
"48","UAV-based high-resolution visible (RGB) imagery used for mapping vegetation and detailed geoecological patterns in an Arctic Tundra alluvial fan to evaluate applicability for vegetation mapping and identification of main vegetation groups.","RGB"
"49","Used UAV-based aerial photography to detect, locate, and count Pomacea spp. eggs in natural environments for disease management.","RGB"
"50","A drone-mounted camera was used to conduct a photogrammetric survey and generate an updated orthophoto of the coastal area to assess spatial distribution of environmental contaminants.","RGB"
"51","Unmanned aerial vehicles were used to capture aerial photographic images for estimating occupancy, abundance, and detection probability of sea otters via point process models.","RGB"
"52","UAV-based RGB imagery was used to generate a high-precision digital terrain model and orthophoto map to calculate runoff flow direction and accumulation, assess runoff pollution levels, and identify priority areas for water resource protection in constructing stormwater landscape security patterns.","RGB"
"53","UAV was used to generate a digital elevation model (DEM) to determine water levels and volumetric changes of Burdur Lake over time by integrating with satellite-derived shoreline data.","RGB"
"54","UAV-mounted multispectral and RGB sensors were used to identify and accurately map intertidal macroalgal communities, focusing on the canopy-forming species Ascophyllum nodosum with high spatial and taxonomic resolution.","RGB"
"55","A fixed-wing UAV equipped with RGB remote sensing was used to identify and map cyanobacterial mats, estimate their spatial extent and types, and to monitor human impact (campsites and walking trails) in the McMurdo Dry Valleys ecosystem.","RGB"
"56","The drone (DJI Phantom 4 Pro) was used to acquire very high resolution orthophoto imagery and generate a digital surface model for geomorphological and landscape mapping and analysis of coastal landforms and ecotopes.","RGB"
"57","A UAV equipped with multispectral and digital (RGB) cameras was used to estimate maize aboveground biomass (AGB) and assess land damage caused by underground coal mining.","RGB"
"58","Used a UAV-mounted RGB camera to monitor surface soil moisture in steppes by correlating image brightness and vegetation coverage with soil moisture.","RGB"
"59","UAVs equipped with RGB, multispectral and thermal sensors plus a water sampling device were used to create precise ecological maps, detect anomalous thermal zones, identify and census wildlife, build 3D models of geological formations, and sample dissolved chemicals in inaccessible or protected Antarctic areas.","RGB"
"60","The s185 multirotor UAV (drone) was used to collect remote sensing images (RGB) of ecological garden landscapes for classification via an improved U-Net model to support dynamic monitoring of ecological garden development.","RGB"
"61","UAV-mounted cameras were used to capture high-spatial-resolution composite photos of a freshwater marsh to identify and quantify dominant vegetation classes (submerged aquatic, floating, emergent), determine percent cover, compare habitat mapping accuracy, and monitor seasonal wetland changes.","RGB"
"62","Drones (fixed-wing and multirotor UAVs) were used to survey free-living waterfowl, assess disturbance impacts, and capture onboard optical images for unambiguous species identification.","RGB"
"63","The study employs an unmanned aerial vehicle (drone) with RGB imaging to develop and apply a remote‐sensing inversion model for monitoring water quality and pollutant concentrations in rivers and lakes.","RGB"
"64","UAV-mounted digital cameras (RGB, red-edge, near-infrared) were used to acquire imagery at 50 m altitude for supervised pixel-based classification to monitor and quantify Jacobaea vulgaris distributions.","RGB"
"65","UAV-mounted digital camera used to acquire aerial photographs for deriving individual tree height of high-value broadleaf timber species.","RGB"
"66","UAV equipped with an RGB camera was used to collect high–resolution imagery for training and validating MaxEnt models to map fractional cover of non-native yellow sweet clover.","RGB"
"67","Used a UAV equipped with an RGB camera and RTK GPS to capture imagery for Structure‐from‐Motion processing into orthomosaics and DEMs, enhancing automatic benthic habitat classification of very shallow coral reefs.","RGB"
"68","The study used a small commercial UAV equipped with an RGB camera to survey and identify the sex of adult green sea turtles, enabling estimation of operational sex ratios and improving turtle detection rates and access compared to boat-based surveys.","RGB"
"69","UAV-based high-resolution RGB imagery was used to generate orthophotos and dense photogrammetric point clouds to map mangrove biophysical parameters (height, canopy area, perimeter, volume), perform species discrimination, and assess canopy coverage.","RGB"
"70","Drone-mounted RGB camera used to obtain aerial images for creating orthomosaics and digital surface models, mapping vegetation distribution, conducting habitat classification, and estimating species coverage.","RGB"
"71","UAV imagery used as ground-reference data to identify land-cover classes in Landsat imagery and quantify 30 years of historic deforestation and reforestation in a Costa Rica ecological reserve.","RGB"
"72","The UAV platform is used for forest monitoring, capturing real-time imagery of fire-affected forest conditions to provide accurate and timely fire information.","RGB"
"73","UAV imagery used to automatically detect and extract Pedicularis distribution for grassland administration.","RGB"
"74","A UAV-mounted RGB camera was used to capture aerial images for repeated wildlife censuses, and a CNN-based object detection method with unsupervised domain adaptation was applied to improve animal abundance estimation across campaigns.","RGB"
"75","UAV‐acquired top‐view imagery was used to obtain scaled, geo‐rectified photographs for precise morphometric measurements and feature extraction of Arabian oryx, enabling predictive models of age, weight, and pregnancy status to inform conservation management.","RGB"
"76","UAV imagery was used to capture high-resolution visual data to estimate river discharge at two sections of the Shiyang River using the Manning formula, demonstrating the feasibility of drones for regional water resource assessments.","RGB"
"77","A lightweight quadcopter UAV equipped with a consumer-grade RGB digital camera was used to collect imagery for structure-from-motion photogrammetry, producing high-resolution orthomosaics and raster thematic maps to characterize and monitor sensitive coastal marine habitats.","RGB"
"78","UAVs equipped with RGB and six-band discrete wavelength multispectral cameras were deployed to assess intertidal and shallow subtidal marine macroalgae and classify habitats with high taxonomic resolution, showing improved accuracy with multispectral imaging.","RGB"
"79","UAV-based RGB imagery was used with Structure from Motion to detect olive trees and estimate tree height and crown diameter under different flight configurations.","RGB"
"80","UAV platform used to survey breeding seabird colonies, capturing high-resolution RGB imagery for semi‐automated classification and accurate counting of gulls with minimal disturbance.","RGB"
"81","The UAV was used to acquire high-spatial-resolution imagery to verify and produce reference data for fractional vegetation cover estimation from satellite data.","RGB"
"82","The study used a UAV to acquire hyperspectral imagery and photogrammetric point clouds (from RGB imagery) to estimate plot-level biodiversity indicators (e.g., structural variability, species richness, amount of dead wood) in boreal forests.","RGB"
"83","UAV-mounted RGB imagery was used to generate high-resolution (2 cm) maps of vegetation cover and plant functional groups to assess land degradation in Mongolian steppes.","RGB"
"84","Two UAVs (drones) were deployed: one to release fluorescent dye tracer (releaser) and the other to collect RGB imagery. These data were used to calculate surface water flow direction and magnitude non-intrusively in a salt marsh environment.","RGB"
"85","The study employs a UAV-mounted low-cost RGB camera to capture centimeter-resolution imagery for object-based image analysis and SVM classification of soil and water conservation measures.","RGB"
"86","Unmanned aerial vehicle used to capture imagery to monitor gully characteristics and erosion process","RGB"
"87","Used UAV-based aerial imagery to monitor the proportions of different ditch shapes in rice-crayfish fields to evaluate changes in ecosystem service values after conversion.","RGB"
"88","The drone-mounted RGB camera is used to capture aerial images for photogrammetry, generating orthomosaics and detecting individual tree crowns to assess crown size and area.","RGB"
"89","UAV-mounted RGB imagery was used with an improved YOLOv3 deep learning model to detect and classify pine wilt disease infection stages in trees.","RGB"
"90","A UAV equipped with aerial photogrammetry (SfM RGB imagery) and LiDAR was used to estimate forest stand characteristics (e.g., tree height, DBH, Lorey’s H, basal area, volume) and to invert biomass.","RGB"
"91","UAV surveys and aerial photogrammetry were used to map and assess the spatial distribution of giant kelp forest canopies.","RGB"
"92","UAV-mounted high-resolution RGB imagery was used to investigate and classify landscape types for landscape ecological classification in a semi-arid mining city","RGB"
"93","High-resolution aerial imagery from a Phantom 4 UAV is used to manually delineate tree species stands and extract training samples for canopy composition mapping at the species level.","RGB"
"94","Small drone-mounted camera used to capture images for estimating densities of Aurelia sp. jellyfish via semi‐automated and manual counts under varying environmental conditions.","RGB"
"95","A tethered UAV equipped with a digital camera was used to collect very high–resolution time-series imagery for species-specific mapping (FPC, LAI) to monitor postfire canopy recovery and detect invasive bracken fern in grassland pastures.","RGB"
"96","UAV-mounted RGB imagery was used to depict forest structure, detect individual trees, extract non-crown areas, and optimize selection and intensity of thinning zones in forest management.","RGB"
"97","An unmanned aerial vehicle was used for remote sensing photography to capture 2D images for automatic cobble edge detection and cobble size distribution analysis in river geomorphology studies.","RGB"
"98","UAV-mounted RGB cameras were used to simultaneously quantify overstory crown cover and understory vegetation cover through 3D structure-from-motion point clouds and image segmentation for forest ecosystem function assessment.","RGB"
"99","UAV-mounted RGB imagery was used to survey sea cucumber densities via photomosaics and machine learning, improving efficiency over traditional snorkeler transects.","RGB"
"100","UAV-mounted RGB imagery was used to capture high-resolution aerial photographs and derive digital surface models to quantify changes in gully morphology, calculate gully volume and erosion moduli, and assess the impacts of catchment area changes over 40 years.","RGB"
"101","The drone used high-resolution RGB photography to aerially map tropical forest areas and detect estuarine crocodile nests, demonstrating a cost-effective method for wildlife monitoring and suggesting further applications in habitat mapping, anti-poaching, and logging detection.","RGB"
"102","UAV-mounted RGB camera imagery was used to acquire sub-decimeter resolution aerial images for object-based image analysis and machine learning classification to map and monitor beach wrack for coastal environmental management.","RGB"
"103","Unmanned aerial vehicle–based RGB imagery was used to map and assess the distribution and ecological niche of the invasive alga, identify and characterize vulnerable marine ecosystems, and support ecological‐niche modeling for monitoring non‐indigenous species.","RGB"
"104","UAV equipped with an on-board camera used to assess breeding status, offspring number and nestling age of canopy-breeding hooded crows, providing rapid nest inspections with reduced time, disturbance, tree damage and health risks compared to climbing or telescopic rod methods.","RGB"
"105","The UAV was used to acquire very high resolution (VHR) imagery for mapping the distribution, monitoring spread, and enabling early detection of Spartina alterniflora invasion.","RGB"
"106","The study uses a drone equipped with a gimballed RGB camera and an independently powered LIDAR/GPS data-logging system to perform low-altitude single-frame photogrammetry for accurate measurement of swimming marine mammals.","RGB"
"107","UAV-mounted RGB camera imagery was used to produce very high resolution orthomosaics for mapping percentage canopy cover, delineating tree crowns and canopy gaps, and calculating structural metrics (area, perimeter, circularity, gap shape complexity) in beech and mixed forests.","RGB"
"108","High-resolution UAV (drone) imagery was used to extract the bare rock ratio and build inversion models to quantitatively evaluate rocky desertification from local to regional scales.","RGB"
"109","Multirotor UAV used to capture centimetre‐resolution imagery and topographic data for broad‐scale monitoring of intertidal reefs, estimating dominant canopy-forming algae and deriving geomorphic variables to explain algal and invertebrate assemblage variation.","RGB"
"110","The UAV (drone) was used to collect high-resolution imagery to efficiently extract exposed rocks (bare rock rate) as ground truth for establishing and calibrating multiband regression models to upscale satellite-based BRR data.","RGB"
"111","The UAV-based (drone) remote sensing method was used to estimate six rangeland vegetation indicators (canopy size, bare soil gap size, plant height, scaled height, vegetation cover, and bare soil cover) in arid and semiarid rangelands.","RGB"
"112","A lightweight hexacopter equipped with a simple digital camera is used to generate fine-scale (0.01 m) orthophotos and digital surface models (DSM) to map beaver-induced ecosystem changes, including the extent of dams and ponds and alterations in vegetation structure, enabling regular repeat monitoring of beaver-impacted wetlands.","RGB"
"113","Use of UAV-acquired very high resolution RGB imagery for object-based land cover classification to quantify habitat degradation and assess hoverfly species richness.","RGB"
"114","A UAV drone equipped with an RGB camera was used to capture high-resolution multi-view images to generate digital orthophoto maps and 3D mesh models for object-based image analysis, enabling accurate 2D and 3D mapping and monitoring of invasive plant distribution in a coastal mountain region.","RGB"
"115","UAV platform used to capture RGB and multispectral imagery for image segmentation and machine-learning classification to map and identify the invasive dune plant Carpobrotus sp.","RGB"
"116","Close-range photogrammetry with a UAV to clarify floristic patterns on inaccessible coastal cliffs based on cliff aspect and elevation.","RGB"
"117","Consumer-grade RGB cameras onboard the UAV were used to acquire high-spatial-resolution imagery for extracting forest structural information at the individual tree level and automatically detecting and delineating tree crowns across a woodland.","RGB"
"118","Low-altitude drone flights equipped with RGB and multispectral sensors were used to capture imagery and apply object-based image analysis to detect, discriminate, and track individual seedlings among non-target grasses over time for monitoring plant performance and ecological restoration trajectories.","RGB"
"119","UAV/drone RGB imagery was used to capture fine-scale surface measurements of kolk-boil characteristics (distribution, presence, area) in high-flow tidal streams to inform tidal turbine development, micro-siting, and environmental impact assessment.","RGB"
"120","UAV‐derived imagery was used to quantify eelgrass meadow area and edge habitat heterogeneity to explain variation in fish species occurrence, richness, and diversity.","RGB"
"121","UAVs equipped with high-resolution RGB imagery were used to rapidly survey replanted forest areas, generate dense point clouds, and automatically detect and map healthy young pine seedlings to identify locations requiring replacement.","RGB"
"122","Drones were used to capture high-resolution canopy imagery (RGB) to derive canopy variables for local-scale ecological monitoring of forest structure and biodiversity patterns in a subtropical forest.","RGB"
"123","UAV used to acquire high-resolution imagery of Glossy ibis breeding colony for manual and automated nest counts to estimate breeding population size and support long-term monitoring.","RGB"
"124","Optical UAV tilt photogrammetry was used to capture imagery for extracting tree attributes and performing machine learning–based street tree species classification for urban ecosystem monitoring and management.","RGB"
"125","Fixed-wing UAVs equipped with consumer-grade RGB cameras were used to map and monitor flowering leafy spurge in a heterogeneous prairie landscape, enabling non-destructive, low-cost, flexible, near-real-time vegetation monitoring and quantification of changes in spurge distribution.","RGB"
"126","UAV reconnaissance using RGB imagery to retrieve landscape assessment factors for quantitative evaluation of earthquake-induced geological hazard impacts","RGB"
"127","UAV-based SfM photogrammetry was used to generate high-resolution (centimeter-level) 3D maps of tidal channel morphology (width, depth, width-to-depth ratio, cross-sectional area) in salt marshes and relate these morphological features to salt marsh plant species distributions.","RGB"
"128","UAV-based RGB imagery was used for terrain assessment and geomorphic and vegetation mapping to analyze biogeomorphic patterns of turf-banked solifluction lobes.","RGB"
"129","The study uses a drone equipped with RGB imaging to capture urban river images and, together with field-measured water quality data, applies a GA_XGBoost model to predict key water quality parameters (chlorophyll a, total phosphorus, total nitrogen, ammonia-nitrogen, turbidity) for intelligent monitoring of urban rivers.","RGB"
"130","UAV-based photogrammetric imagery used to identify individual Pistacia and Amygdalus plants and predict their crown area for analyzing intra- and interspecific spatial interactions and growth inhibition","RGB"
"131","UAV-based RGB imagery is used to monitor green tide beaching events and extract green tide features to quantify coverage area and biomass density for nearshore coastal monitoring.","RGB"
"132","UAV-mounted RGB imagery was used to automatically detect individual tree crowns and estimate crown sizes and tree heights in complex urban scenes for urban green space inventory management.","RGB"
"133","High-resolution UAV surveys provided georeferenced RGB orthomosaics to monitor and quantify flooded shores, detect the impacts of human-made structures, and assess natural and anthropogenic impacts on habitat status of a volcanic lake.","RGB"
"134","Unmanned aerial vehicles were used to capture imagery for measuring 2D and 3D habitat features within a 150 m radius to investigate how habitat complexity influences alpha and beta diversity of alpine bird assemblages under varying livestock grazing intensities.","RGB"
"135","The drone uses vision-band-only RGB imaging to automatically segment and detect tree crowns in low-flying airborne images for ecology monitoring (weed monitoring and mapping over farmland).","RGB"
"136","UAV-mounted multispectral and RGB sensors were used to acquire very high-resolution imagery to estimate biomass and carbon stock of native desert shrubs and monitor vegetation coverage in arid ecosystems.","RGB"
"137","UAV-mounted RGB imagery processed via Structure from Motion to generate digital surface models for measuring within-season tree height growth","RGB"
"138","UAV-mounted visible-light (RGB) camera used to capture brightness values for estimating topsoil moisture in alpine meadow grasslands by correlating image brightness with soil moisture, vegetation coverage, rainfall reduction, and aboveground biomass.","RGB"
"139","The UAV-mounted RGB camera was used to perform photogrammetric surveys for analyzing the chronology and morphological features (height, distribution, formation age) of nebkha dunes in the Mu Us dune field.","RGB"
"140","Used UAV (drone) to collect ultra‐high resolution RGB imagery to derive a fractional vegetation cover model and quantify woody vegetation change along the ephemeral Kuiseb River over a 35-year period.","RGB"
"141","UAV-mounted RGB camera used for stereo-photogrammetry to estimate tree height in a dense tropical forest for biomass estimation.","RGB"
"142","The UAV drone collected high-resolution RGB imagery to generate orthomosaic and DEM data for monitoring dynamic features of the debris-covered glacier, including elevation change, mass balance, surface velocity, and to detect ice avalanches and crevasse development.","RGB"
"143","High-resolution aerial photography from UAVs used for geomorphological mapping and classification of small-scale transient landforms in rapidly changing glacier forelands","RGB"
"144","UAV imagery was used to verify the effect of desertification control and analyze the evolution trend of grassland desertification.","RGB"
"145","The UAV-mounted RGB camera was used to capture orthoimagery for large-scale object-based classification and mapping of surface sediment distribution in tidal flats.","RGB"
"146","Unmanned aerial vehicle used for aerial photography to investigate and evaluate surface damage (crack density, width, subsidence) caused by coal mining and to support prediction of damage degree.","RGB"
"147","Use of UAV-mounted true color (RGB) camera to acquire high-resolution imagery for mapping fine-scale vegetation patterns, tracking structural composition and phenological traits (life-cycle phases, flowering and fruiting dynamics) of the dwarf shrub Calluna vulgaris after controlled burning.","RGB"
"148","The UAV-mounted RGB imagery was used to generate a canopy height model (CHM) to detect and classify forest canopy gaps and analyze their spatial distribution patterns.","RGB"
"149","Drones were used to capture RGB imagery to estimate the density and distribution of caiman nests, quantify nesting potential, georeference nest locations, and evaluate sustainable harvest limits.","RGB"
"150","Used an UAV aerial photography system equipped with an RGB camera to collect very-high-resolution images of a stone coal mining area, classify land cover types (including acid mine drainage) and monitor mine environmental problems.","RGB"
"151","UAV imagery used to extract canopy parameters (crown width and densities) of underground karst tiankeng forests for monitoring plant functional traits","RGB"
"152","The UAV-based drone equipped with an RGB camera is used for real-time detection and identification of standing dead trees (SDTs) in forested areas to improve monitoring efficiency and support forest management.","RGB"
"153","Used to capture high-resolution aerial imagery at multiple resolutions (2.5 cm, 5 cm, 10 cm) from a UAV for automated hydromorphological feature identification (flow, vegetation, substrate) along a river reach.","RGB"
"154","UAV-based photogrammetric RGB imagery was used to measure tree height and crown width and to predict DBH and tree age in ancient tree community surveys.","RGB"
"155","Drones were used to collect aerial RGB imagery to monitor wildlife and assess the effects of UAV flights on American black bears’ movements and stress responses.","RGB"
"156","UAV-mounted RGB camera images were used to calculate 19 vegetation indices and perform SVM classification to assess grassland desertification across five severity grades.","RGB"
"157","The study used a UAV with oblique RGB photography to accurately measure and assess street-level damage to urban vegetation (roadside trees and urban forests) caused by Super Typhoon Mangkhut by quantifying changes in vegetation height.","RGB"
"158","UAV-mounted RGB imagery was used for coastal monitoring to measure and monitor medium to small-scale coastal changes and detect shoreline erosion trends.","RGB"
"159","UAV-based RGB imagery was used to derive the Excess Green minus Excess Red Index for land cover classification and to assess the ecohydrological response of the oasis ecosystem to ecological water diversion.","RGB"
"160","Used UAV-based RGB imagery to identify effective gerbil holes and analyze their spatial relationship with grass coverage for grassland management and rodent infestation control.","RGB"
"161","The study used an unmanned aerial vehicle (UAV) equipped with an RGB camera to produce high‐resolution orthophotos (1 cm GSD) for littoral cartography analysis of vermetid bioconstructions, quantifying reef boundary roughness and structural complexity over an 830 m stretch of rocky coast.","RGB"
"162","The study used a drone-mounted optical (RGB) camera to capture high-resolution images of grasslands for automatic detection and counting of grazing livestock using a deep-learning model (GLDM).","RGB"
"163","The drone equipped with a low-cost RGB camera was used to acquire high-resolution spatial data for generating weed maps via classification algorithms, supporting targeted weed management and treatment in agricultural fields.","RGB"
"164","UAV-based imagery used for supervised classification to map pigmented algal growth on the ice surface and quantify its effect on ice albedo and runoff","RGB"
"165","UAV-based photogrammetric imagery was used to estimate tree heights in a Scots Pine stand for intensive forest monitoring, enabling semi-automated measurements of tree growth, volume, and biomass.","RGB"
"166","UAV-mounted RGB imagery was used for on-site waterline interpretation and digital elevation model construction (WDEM) to evaluate mangrove habitat quality and inform hydrodynamic simulations of inundation duration, flow resistance, and vegetation dissipation potential.","RGB"
"167","Used aerial imagery surveys with a UAV to map penguin colonies, create orthomosaics, and enable automated penguin counting via a deep learning pipeline.","RGB"
"168","UAV-mounted RGB imagery was used to model potential direct and diffuse solar radiation across the forest canopy during the growing season, and assess its impact on Pinus sylvestris L. natural regeneration.","RGB"
"169","The UAV was used to acquire high-resolution aerial images to construct digital orthophoto maps and dense image matching point clouds, with RGB imagery employed to extract vegetation information and calculate fractional vegetation cover in an open phosphate mine tailings area.","RGB"
"170","Using UAV-mounted RGB imagery and object detection algorithms to detect pine wild diseased trees for disease monitoring and prevention","RGB"
"171","The UAV-mounted RGB camera was used to generate 3D reconstructions of Scots pine tree stems to assess how varying thinning treatments affect stem shape, size, biomass allocation, and carbon uptake.","RGB"
"172","The study uses low-cost UAVs (drones) and USVs (unmanned surface vehicles) equipped with RGB cameras for photogrammetric acquisition to produce high-resolution orthophoto mosaics and digital surface models, enabling fine-scale mapping and classification of shallow benthic communities (e.g., seagrass beds, macroalgal beds).","RGB"
"173","UAV-mounted RGB imagery was used to assess Spartina alterniflora’s aboveground biomass and height in relation to inundation and salinity gradients.","RGB"
"174","UAV was used to capture aerial photos for spatial-scale matching and modelling to estimate grassland aboveground biomass across the Qinghai-Tibet Plateau.","RGB"
"175","Fixed-wing UAV (drone) equipped with an RGB camera was used to acquire images and generate orthophotos and a digital elevation model for geomorphological mapping of glacial forelands in remote Antarctic locations and to infer glacial dynamics.","RGB"
