paper_id,model,prompt_template,time_taken,Study Type,Application,Platform,Sensor,Comment,error
D30,o4-mini,directive,5.622196912765503,NA,NA,Drone,Logger,Used drones (unmanned aircraft systems) to conduct repeated low-altitude flights over captive American black bears and employed implanted cardiac biologgers to measure heart rate responses and assess habituation to UAS exposure.,
D32,o4-mini,directive,4.840599775314331,NA,NA,Drone,NA,"Unmanned aerial systems were used to distribute Trichogramma egg parasitoids for biocontrol of the European corn borer in maize and eastern spruce budworm in forests, comparing UAS deployment efficacy to manual card installation.",
D34,o4-mini,directive,3.94094181060791,NA,NA,Drone,RGB,"A UAS (drone) equipped with an RGB camera was used to acquire images for automatic detection of Brandt’s vole holes, enabling large-scale, multi-season rodent damage monitoring with deep learning.",
D35,o4-mini,directive,6.683696031570435,NA,NA,Drone,NA,A fixed-wing Trimble UX5 drone was used to conduct aerial surveys to evaluate behavioral responses of nesting lesser snow geese.,
D37,o4-mini,directive,5.387657880783081,NA,NA,Drone,RGB,Consumer-grade unmanned aerial vehicles equipped with RGB cameras were used to capture aerial photographs and videos of free-ranging cetaceans for photogrammetric morphometric analysis (animal size measurements).,
D38,o4-mini,directive,5.198654890060425,NA,NA,Drone,RGB,Drone-mounted RGB imagery was used to collect ultra-high spatial resolution images for early-stage detection and localization of encroaching eastern redcedar using semantic segmentation algorithms,
D39,o4-mini,directive,11.907145023345947,NA,NA,Drone,Physical/chemical sensor,"Drones equipped with ultrasonic anemometers were used to collect wind speed, wind direction, and temperature measurements at 10–15 m AGL to detect attracting regions (Lagrangian Coherent Structures) and drive transport models of hazardous airborne agents for real-time emergency response.",
D40,o4-mini,directive,5.6677021980285645,NA,NA,Drone,RGB,"The study uses a small unmanned aircraft system (drone) equipped with an RGB camera to acquire ultrahigh-resolution imagery for extracting forest–agriculture ecotones, constructing a photogrammetric canopy height model, delineating ecotones, and quantifying small biotopes and landscape structure.",
D41,o4-mini,directive,5.339986801147461,NA,NA,Drone,RGB,Platform and sensor used for aerial detection of Persicaria perfoliata patches and aerial release of Rhinoncomimus latipes for spatially targeted biological control in hard-to-access areas.,
D42,o4-mini,directive,13.210191011428833,NA,NA,Drone,Sampler,A small rotary-wing UAS was used as a sampling platform to actively collect viable aerosolized microbes in wildfire smoke plumes using an impaction-based bioaerosol sampler (also sampling particulate matter and micrometeorology).,
D43,o4-mini,directive,14.995461225509644,NA,NA,"['Other', 'Drone']","['Sampler', 'Physical/chemical sensor']","The unmanned surface vehicle (USV) carried 3D-printed impingers (samplers), optical particle counters and a weather station (physical/chemical sensors) to collect bioaerosols and monitor particle sizes near the water surface, while the small unmanned aircraft system (sUAS; drone) collected microorganisms on agar media 50 m above the water.",
D44,o4-mini,directive,5.412380933761597,NA,NA,Drone,RGB,"True-colour (RGB) UAS imagery was used to map and classify non-submerged aquatic vegetation at species, growth-form, and dominant-taxon levels, comparing manual and automated classification methods for operational vegetation mapping.",
D45,o4-mini,directive,6.678209066390991,NA,NA,Drone,Hyperspectral,Drone‐mounted hyperspectral imaging used to produce sub‐decimeter resolution maps of Antarctic moss canopy chlorophyll content and leaf density for assessing plant health and environmental stress.,
D46,o4-mini,directive,6.4599387645721436,NA,NA,Drone,RGB,A drone-mounted RGB camera was used to collect aerial imagery to conduct presence surveys and detect Red-cockaded Woodpecker cavity trees using deep learning object detection (YOLO).,
D47,o4-mini,directive,4.317378044128418,NA,NA,Drone,RGB,"Drones equipped with RGB cameras collected overlapping aerial photos, which were processed via structure-from-motion photogrammetry to generate 3D models and canopy height maps for individual tree detection and forest inventory mapping.",
D48,o4-mini,directive,6.889214992523193,NA,NA,Drone,RGB,Unmanned Aircraft Systems equipped with RGB cameras using digital photogrammetry to produce high-resolution 2D and 3D maps for monitoring and quantifying coastal erosion and accretion over time.,
D49,o4-mini,directive,4.267528772354126,NA,NA,Drone,Lidar,"UAS‐LiDAR transects mounted on an unmanned aircraft system were used to extract individual tree positions and heights and to estimate multi‐scale (individual, plot, landscape) forest structural parameters in a plantation.",
D50,o4-mini,directive,4.375221014022827,NA,NA,Drone,Lidar,UAS-mounted LiDAR was used to develop and apply a bottom-up individual tree and crown delineation algorithm to estimate forest stocking density and map tree structure in mixed-species eucalypt forests.,
D58,o4-mini,directive,5.271168947219849,NA,NA,Drone,RGB,"The drone-mounted RGB camera is used to capture photographic material for recognizing, counting, and localizing individual animals (cattle, smaller domestic animals, and carnivores) in the field.",
D61,o4-mini,directive,7.770596981048584,NA,NA,Drone,RGB,High-resolution UAV imagery was used to estimate fractional vegetation cover (FVC) and aboveground biomass (AGB) of Spartina alterniflora in coastal wetlands.,
D62,o4-mini,directive,5.518193006515503,NA,NA,Drone,RGB,Unmanned aerial vehicle (drone) equipped with high-resolution (≤0.1 m) RGB imagery was used to study spatial patterns of the desert plants Nitraria tangutorum and Reaumuria songarica under varying sand burial depths.,
D71,o4-mini,directive,5.036787986755371,NA,NA,Drone,RGB,"Unmanned aerial vehicle (drone)–based RGB imagery was used to develop and validate stepwise regression models for estimating water quality parameters (total suspended solids, total organic carbon, and chemical oxygen demand) in Ukkadam Lake.",
D72,o4-mini,directive,6.865560054779053,NA,NA,Drone,RGB,"Use of UAV-acquired RGB imagery for automatic mosaic, registration, classification, and rapid land information inspection to monitor land use changes in quake-stricken Chengdu plain",
D75,o4-mini,directive,6.426302194595337,NA,NA,Drone,Other,Small UAV equipped with laser‐induced fluorescence and solar radiation spectrum recording for recognizing oil spills in marine water basins.,
D76,o4-mini,directive,6.260290861129761,NA,NA,Drone,RGB,"Unmanned aerial vehicles (rotary-wing and fixed-wing drones) are used to collect high-resolution imagery to characterize eddy covariance footprints and map terrain and vegetation patterns, enabling scaling of environmental sensor network observations and input to distributed ecohydrologic models.",
D80,o4-mini,directive,4.722781181335449,NA,NA,Drone,RGB,"Drone-mounted 4k video camera used to monitor marine megafauna (turtles, seabirds, large fish, small cetaceans) to assess impacts of the Fundao dam tailings disaster and deepen behavioral ecology knowledge by optimizing flight patterns and camera settings.",
D85,o4-mini,directive,3.1177170276641846,NA,NA,Drone,Lidar,UAV-mounted laser scanning system used to acquire aerial point clouds for estimating tree diameter at breast height (DBH) in forest inventory models,
D89,o4-mini,directive,3.8589093685150146,NA,NA,Drone,RGB,High-resolution aerial pictures taken from the drone were used to identify micro-habitat structures and generate habitat suitability models for larvae of two lycaenid butterfly species.,
D107,o4-mini,directive,6.129791975021362,NA,NA,Drone,Multispectral,"Unmanned aerial vehicle equipped with a multispectral camera to acquire high‐resolution imagery for calculating vegetation indices and generating digital elevation models to estimate sediment connectivity and analyse interactions between hydrology, sediment transport, and vegetation.",
D108,o4-mini,directive,6.945847988128662,NA,NA,Drone,RGB,"UAV-based RGB imagery and Structure from Motion photogrammetry were used to generate high-spatiotemporal-resolution 3D representations of mangrove canopy, estimate biophysical properties, and produce detailed mangrove extent maps for monitoring mangrove dynamics.",
D109,o4-mini,directive,5.56115984916687,NA,NA,Drone,RGB,Unmanned aerial vehicles equipped with cameras are used for aerial photography to count and monitor European geese populations during migration and breeding.,
D110,o4-mini,directive,4.173415184020996,NA,NA,Drone,Other,The UAV integrates a radio tag telemetry receiver to localize and track wildlife (fish tags) on land and underwater.,
D112,o4-mini,directive,9.368874073028564,NA,NA,Drone,NA,Drones (UAVs) are applied for oil pollution monitoring in the sea; no specific onboard sensors are detailed in the abstract.,
D119,o4-mini,directive,8.265363931655884,NA,NA,Drone,RGB,"The drone was used to conduct aerial surveys and capture high-quality RGB imagery to detect stranded marine mammals, seabirds, and marine turtles during beach monitoring.",
D120,o4-mini,directive,5.602268218994141,NA,NA,Drone,RGB,Fixed-wing UAV used to acquire high-resolution aerial images to monitor and count critically endangered gharial and mugger crocodiles along the Babai River in Bardia National Park.,
D121,o4-mini,directive,6.401815891265869,NA,NA,Drone,RGB,"High-resolution RGB imagery collected by a drone was processed and classified to generate seasonal maps of wetland vegetation communities, facilitating automated monitoring of ecological changes.",
D122,o4-mini,directive,4.766256093978882,NA,NA,Drone,RGB,Use of drones equipped with RGB imagery to monitor and accurately count wildlife populations (replica seabird colonies),
D123,o4-mini,directive,3.8171420097351074,NA,NA,Drone,RGB,UAV-mounted camera imagery was used to monitor yellow flower coverage as an indicator of target species presence for result-based biodiversity conservation payments and to compare cost-effectiveness against expert on-site monitoring.,
D124,o4-mini,directive,18.984169960021973,NA,NA,Drone,Near-infrared,Use of a drone equipped with a lightweight multi-camera system capturing near-infrared imagery to produce high-resolution NDVI maps and digital surface models for surveying riverine ecosystems and analyzing hydromorphology–vegetation interactions.,
D125,o4-mini,directive,9.749425888061523,NA,NA,Drone,Multispectral,UAV-mounted multispectral imagery was used with Structure-from-Motion algorithms to generate 3D point clouds of forest canopies for estimating canopy height and evaluating data quality under varying flight and imaging conditions.,
D126,o4-mini,directive,5.0691142082214355,NA,NA,Drone,Multispectral,"The study uses a UAV (drone) equipped with a multispectral sensor to perform transect mapping and object-based image analysis of wetland vegetation communities, integrating UAV remote sensing with traditional in situ transect sampling to assess and map vegetation diversity and richness.",
D127,o4-mini,directive,4.941346883773804,NA,NA,Drone,RGB,High-resolution RGB imagery from drone used for object-based detection and classification of trees to determine tree density,
D128,o4-mini,directive,5.527216911315918,NA,NA,Drone,"['RGB', 'Thermal infrared']",UAV-mounted RGB and thermal infrared sensors were used for wide‐scale remote sensing and rapid inversion of bare surface soil moisture content.,
D129,o4-mini,directive,7.178952932357788,NA,NA,Drone,RGB,The drone equipped with an RGB camera was used to acquire remote sensing imagery for multi-temporal monitoring and detection of invasive aquatic plant species (water hyacinth).,
D134,o4-mini,directive,4.2723388671875,NA,NA,Drone,Physical/chemical sensor,An unmanned aerial vehicle was used to sample volatile organic compound concentrations in the near‐canopy atmosphere over different forest subtypes to examine spatial heterogeneity in VOC emissions and deposition.,
D135,o4-mini,directive,3.6097941398620605,NA,NA,Drone,RGB,Unmanned aerial vehicle imagery was used with machine-learning classifiers to map and quantify ghost crab burrow openings as a non-invasive bioindicator of sandy beach health.,
D136,o4-mini,directive,4.729617118835449,NA,NA,Drone,RGB,"Unmanned aerial vehicle (drone) acquired RGB imagery was used for individual tree crown detection and segmentation, species classification, and forest resource inventory in complex forest areas.",
D137,o4-mini,directive,4.108319997787476,NA,NA,Drone,Multispectral,A drone equipped with a multispectral camera was used to capture high‐resolution imagery for computing vegetation indices to quantify and differentiate vegetation ground cover density in olive groves.,
D142,o4-mini,directive,9.905058145523071,NA,NA,Drone,"['Lidar', 'RGB']",UAV-mounted LiDAR and aerial RGB imagery were used to generate a high-resolution canopy height model for quantifying vegetation structure at mourning warbler song posts to study bird microhabitat use.,
D146,o4-mini,directive,4.348920106887817,NA,NA,Drone,Hyperspectral,UAV-mounted hyperspectral imaging was used to extract and map the invasive plant Mikania micrantha.,
D149,o4-mini,directive,10.854982852935791,NA,NA,Drone,Hyperspectral,"An unmanned aerial system (drone) carried a hyperspectral point spectrometer to measure reflectance characteristics and map the presence, type, and activity of cyanobacteria-dominated microbial mats in the McMurdo Dry Valleys at spatial scales sufficient for monitoring inter-annual change.",
D152,o4-mini,directive,5.1813600063323975,NA,NA,Drone,RGB,"UAV-mounted RGB camera used to collect aerial imagery of coastal cliffs for plant species recognition, mapping, area measurement, and individual counts to support biodiversity monitoring.",
D155,o4-mini,directive,5.043352842330933,NA,NA,Drone,RGB,"The drone’s low-altitude RGB imagery was used with automated object-based image analysis to detect, count, and classify seeds and seedlings for rapid, scalable ecological restoration monitoring.",
D165,o4-mini,directive,10.047699928283691,NA,NA,Drone,"['Multispectral', 'RGB']",A Parrot Bluegrass drone equipped with a multispectral camera (Parrot Sequoia+) and an RGB camera (Zenmuse X5) was used to identify glacial outflow zones and determine meltwater turbidity values in front of Antarctic glaciers by mapping specific spectral bands.,
D167,o4-mini,directive,4.062122821807861,NA,NA,Drone,RGB,UAV-based RGB imagery was used with a deep learning framework for semi-automatic patch-scale monitoring of the invasive plant Spartina alterniflora.,
D168,o4-mini,directive,7.2880659103393555,NA,NA,Drone,NA,Unmanned aerial vehicles were used to locate and survey 131 Marmota himalayana burrows at low altitudes and slow speeds to measure their physical characteristics across different terrains.,
D169,o4-mini,directive,6.325594902038574,NA,NA,Drone,RGB,"UAV-mounted RGB camera imagery used for photogrammetric processing to generate digital elevation models, monitoring surface soil movement and topographic recession of the coal mine waste pile",
D170,o4-mini,directive,4.690212965011597,NA,NA,Drone,RGB,UAV-based high-resolution visible (RGB) imagery used for mapping vegetation and detailed geoecological patterns in an Arctic Tundra alluvial fan to evaluate applicability for vegetation mapping and identification of main vegetation groups.,
D171,o4-mini,directive,10.533787965774536,NA,NA,Drone,NA,The UAV (drone) was used to measure spatial variation of canopy structure in subtropical forest plots to evaluate the role of canopy structure and topography in shaping tree diversity and species distributions.,
D172,o4-mini,directive,6.9286370277404785,NA,NA,Drone,RGB,"Used UAV-based aerial photography to detect, locate, and count Pomacea spp. eggs in natural environments for disease management.",
D174,o4-mini,directive,6.680997848510742,NA,NA,Drone,RGB,A drone-mounted camera was used to conduct a photogrammetric survey and generate an updated orthophoto of the coastal area to assess spatial distribution of environmental contaminants.,
D180,o4-mini,directive,4.744707107543945,NA,NA,Drone,RGB,"Unmanned aerial vehicles were used to capture aerial photographic images for estimating occupancy, abundance, and detection probability of sea otters via point process models.",
D181,o4-mini,directive,4.614336013793945,NA,NA,Drone,RGB,"UAV-based RGB imagery was used to generate a high-precision digital terrain model and orthophoto map to calculate runoff flow direction and accumulation, assess runoff pollution levels, and identify priority areas for water resource protection in constructing stormwater landscape security patterns.",
D183,o4-mini,directive,4.5547590255737305,NA,NA,Drone,Multispectral,"UAV-mounted multispectral imaging was used to capture spectral features of water bodies to detect and map cyanobacterial blooms, improving detection accuracy in complex river scenes.",
D185,o4-mini,directive,9.164574146270752,NA,NA,Drone,RGB,UAV was used to generate a digital elevation model (DEM) to determine water levels and volumetric changes of Burdur Lake over time by integrating with satellite-derived shoreline data.,
D186,o4-mini,directive,10.255698919296265,NA,NA,Drone,"['Multispectral', 'RGB']","UAV-mounted multispectral and RGB sensors were used to identify and accurately map intertidal macroalgal communities, focusing on the canopy-forming species Ascophyllum nodosum with high spatial and taxonomic resolution.",
D187,o4-mini,directive,5.583591938018799,NA,NA,Drone,RGB,"A fixed-wing UAV equipped with RGB remote sensing was used to identify and map cyanobacterial mats, estimate their spatial extent and types, and to monitor human impact (campsites and walking trails) in the McMurdo Dry Valleys ecosystem.",
D190,o4-mini,directive,10.141782999038696,NA,NA,Drone,Physical/chemical sensor,Hexacopter UAV equipped with PM2.5 sensor used to reveal vertical distribution patterns of fine particulate matter over urban underlying surfaces near the ground.,
D191,o4-mini,directive,5.676908016204834,NA,NA,Drone,RGB,The drone (DJI Phantom 4 Pro) was used to acquire very high resolution orthophoto imagery and generate a digital surface model for geomorphological and landscape mapping and analysis of coastal landforms and ecotopes.,
D192,o4-mini,directive,6.9086620807647705,NA,NA,Drone,Multispectral,"High‐resolution UAV multispectral imagery (green, red, NIR bands) used to estimate leaf area index (LAI) via the PROSAIL model.",
D193,o4-mini,directive,6.010131120681763,NA,NA,Drone,"['Multispectral', 'RGB']",A UAV equipped with multispectral and digital (RGB) cameras was used to estimate maize aboveground biomass (AGB) and assess land damage caused by underground coal mining.,
D196,o4-mini,directive,18.156863927841187,NA,NA,Drone,NA,"The study used a quadcopter drone to test how different flight parameters (approach speed, angle of approach, and starting altitude) affect the behavioural responses of African elephants, with the goal of developing ethical drone operation protocols to minimize stress on wildlife.",
D198,o4-mini,directive,6.5056750774383545,NA,NA,Drone,Multispectral,"UAV-based multispectral imaging was used to collect canopy reflectance data from wheat plots to validate and apply a deep learning model for simultaneous retrieval of multiple crop traits (leaf area index, chlorophyll content, dry matter, water content) for precision agriculture and plant breeding.",
D202,o4-mini,directive,13.050122022628784,NA,NA,Drone,NA,"The DJI Phantom 4 Pro UAV was deployed to measure atmospheric turbulence spectra and calculate turbulence scales in a complex orography environment, alongside the AMK-03 acoustic meteorological station.",
D204,o4-mini,directive,8.838599920272827,NA,NA,Drone,Other,"UAV-based remote sensing used to monitor fluvial processes at fine spatial and temporal resolution, including riparian vegetation, hazardous algal blooms, submerged morphology, water-surface slope, sediment dynamics, flow velocity, and flood inundation mapping.",
D205,o4-mini,directive,6.132684946060181,NA,NA,Drone,RGB,Used a UAV-mounted RGB camera to monitor surface soil moisture in steppes by correlating image brightness and vegetation coverage with soil moisture.,
D219,o4-mini,directive,7.757966756820679,NA,NA,Drone,"['RGB', 'Multispectral', 'Thermal infrared', 'Sampler']","UAVs equipped with RGB, multispectral and thermal sensors plus a water sampling device were used to create precise ecological maps, detect anomalous thermal zones, identify and census wildlife, build 3D models of geological formations, and sample dissolved chemicals in inaccessible or protected Antarctic areas.",
D221,o4-mini,directive,8.364042043685913,NA,NA,Drone,Hyperspectral,Low-altitude UAV hyperspectral visNIR remote sensing platform used for high-precision ecological surveys and statistical data collection on grassland desertification.,
D228,o4-mini,directive,5.14010214805603,NA,NA,Drone,NA,"The study employs UAV (drone) remote sensing to monitor grassland ecosystems, including grassland vegetation, animal surveys, soil physical and chemical properties, grassland degradation, and environmental disturbances.",
D229,o4-mini,directive,8.160138845443726,NA,NA,Drone,RGB,The s185 multirotor UAV (drone) was used to collect remote sensing images (RGB) of ecological garden landscapes for classification via an improved U-Net model to support dynamic monitoring of ecological garden development.,
D231,o4-mini,directive,6.020100831985474,NA,NA,Drone,RGB,"UAV-mounted cameras were used to capture high-spatial-resolution composite photos of a freshwater marsh to identify and quantify dominant vegetation classes (submerged aquatic, floating, emergent), determine percent cover, compare habitat mapping accuracy, and monitor seasonal wetland changes.",
D235,o4-mini,directive,6.504286050796509,NA,NA,Drone,RGB,"Drones (fixed-wing and multirotor UAVs) were used to survey free-living waterfowl, assess disturbance impacts, and capture onboard optical images for unambiguous species identification.",
D236,o4-mini,directive,9.67908501625061,NA,NA,Drone,RGB,The study employs an unmanned aerial vehicle (drone) with RGB imaging to develop and apply a remote‐sensing inversion model for monitoring water quality and pollutant concentrations in rivers and lakes.,
D241,o4-mini,directive,10.130277156829834,NA,NA,Drone,"['RGB', 'Near-infrared', 'Other']","UAV-mounted digital cameras (RGB, red-edge, near-infrared) were used to acquire imagery at 50 m altitude for supervised pixel-based classification to monitor and quantify Jacobaea vulgaris distributions.",
D242,o4-mini,directive,10.604737997055054,NA,NA,Drone,RGB,UAV-mounted digital camera used to acquire aerial photographs for deriving individual tree height of high-value broadleaf timber species.,
D243,o4-mini,directive,6.382960081100464,NA,NA,Drone,RGB,UAV equipped with an RGB camera was used to collect high–resolution imagery for training and validating MaxEnt models to map fractional cover of non-native yellow sweet clover.,
D244,o4-mini,directive,5.7492899894714355,NA,NA,Drone,Sampler,"A UAV-mounted DeLeaves tool is used to efficiently collect small tree canopy branch samples (≤25 mm stem diameter, ≤500 g) from the uppermost canopy to support forestry, ecophysiology, nutrient diagnostics, remote sensing model development, genetic analysis, and biodiversity monitoring.",
D246,o4-mini,directive,13.129198789596558,NA,NA,Drone,"['RGB', 'GPS tracking system']","Used a UAV equipped with an RGB camera and RTK GPS to capture imagery for Structure‐from‐Motion processing into orthomosaics and DEMs, enhancing automatic benthic habitat classification of very shallow coral reefs.",
D247,o4-mini,directive,4.5684309005737305,NA,NA,Drone,RGB,"The study used a small commercial UAV equipped with an RGB camera to survey and identify the sex of adult green sea turtles, enabling estimation of operational sex ratios and improving turtle detection rates and access compared to boat-based surveys.",
D249,o4-mini,directive,5.028849840164185,NA,NA,Drone,RGB,"UAV-based high-resolution RGB imagery was used to generate orthophotos and dense photogrammetric point clouds to map mangrove biophysical parameters (height, canopy area, perimeter, volume), perform species discrimination, and assess canopy coverage.",
D250,o4-mini,directive,6.427295923233032,NA,NA,Drone,Multispectral,"UAV-based multispectral sensors were used to simulate channel reflectance and detect red imported fire ant (Solenopsis invicta) nests based on spectral differences in visible (Green, Red) and near-infrared bands.",
D251,o4-mini,directive,5.378049612045288,NA,NA,Drone,Sampler,Drone fitted with remote-controlled spore traps used to collect viable and non-viable spores and pollen from the lower atmosphere,
D255,o4-mini,directive,4.069891691207886,NA,NA,Drone,Hyperspectral,Used UAV-based hyperspectral imaging to acquire images for classifying species distribution and identifying keystone grassland species in the desert steppe.,
D256,o4-mini,directive,4.651848077774048,NA,NA,Drone,Hyperspectral,A hyperspectrometer mounted on a UAV was used to acquire imagery for developing and applying an improved model to estimate the spatiotemporal distribution of chlorophyll-a concentration in turbid coastal waters.,
D260,o4-mini,directive,4.43575119972229,NA,NA,Drone,RGB,"Drone-mounted RGB camera used to obtain aerial images for creating orthomosaics and digital surface models, mapping vegetation distribution, conducting habitat classification, and estimating species coverage.",
D262,o4-mini,directive,5.290704965591431,NA,NA,Drone,RGB,UAV imagery used as ground-reference data to identify land-cover classes in Landsat imagery and quantify 30 years of historic deforestation and reforestation in a Costa Rica ecological reserve.,
D264,o4-mini,directive,8.129818201065063,NA,NA,Drone,RGB,"The UAV platform is used for forest monitoring, capturing real-time imagery of fire-affected forest conditions to provide accurate and timely fire information.",
D266,o4-mini,directive,4.483034133911133,NA,NA,Drone,Lidar,"High-point-density UAV-based laser scanning used to detect and map individual fallen trees in boreal forests, comparing performance with moderate-density airborne laser scanning data for line-detection-based fallen tree detection.",
D267,o4-mini,directive,5.191440105438232,NA,NA,Drone,RGB,UAV imagery used to automatically detect and extract Pedicularis distribution for grassland administration.,
D268,o4-mini,directive,4.3176939487457275,NA,NA,Drone,Thermal infrared,"UAV-mounted thermal imaging camera used to survey and detect duck broods in wetlands, doubling detection rates and accelerating survey speed",
D269,o4-mini,directive,6.8779871463775635,NA,NA,Drone,RGB,"A UAV-mounted RGB camera was used to capture aerial images for repeated wildlife censuses, and a CNN-based object detection method with unsupervised domain adaptation was applied to improve animal abundance estimation across campaigns.",
D270,o4-mini,directive,6.02780818939209,NA,NA,Drone,RGB,"UAV‐acquired top‐view imagery was used to obtain scaled, geo‐rectified photographs for precise morphometric measurements and feature extraction of Arabian oryx, enabling predictive models of age, weight, and pregnancy status to inform conservation management.",
D272,o4-mini,directive,4.804258108139038,NA,NA,Drone,RGB,"UAV imagery was used to capture high-resolution visual data to estimate river discharge at two sections of the Shiyang River using the Manning formula, demonstrating the feasibility of drones for regional water resource assessments.",
D273,o4-mini,directive,5.510150194168091,NA,NA,Drone,Other,"Drones were used with sound recorders to capture aerial and underwater noise levels and spectra, characterizing acoustic emissions for assessing potential disturbance to fauna.",
D274,o4-mini,directive,5.651232004165649,NA,NA,Drone,NA,"Quadricopter drone used to approach sensitive wildlife (mallards, flamingos, common greenshanks) to test the impact of drone colour, speed and flight angle on bird behavioural responses.",
D279,o4-mini,directive,5.500153064727783,NA,NA,Drone,RGB,"A lightweight quadcopter UAV equipped with a consumer-grade RGB digital camera was used to collect imagery for structure-from-motion photogrammetry, producing high-resolution orthomosaics and raster thematic maps to characterize and monitor sensitive coastal marine habitats.",
D281,o4-mini,directive,10.050641059875488,NA,NA,Drone,"['RGB', 'Multispectral']","UAVs equipped with RGB and six-band discrete wavelength multispectral cameras were deployed to assess intertidal and shallow subtidal marine macroalgae and classify habitats with high taxonomic resolution, showing improved accuracy with multispectral imaging.",
D284,o4-mini,directive,4.940403938293457,NA,NA,Drone,RGB,UAV-based RGB imagery was used with Structure from Motion to detect olive trees and estimate tree height and crown diameter under different flight configurations.,
D285,o4-mini,directive,7.707056045532227,NA,NA,Drone,RGB,"UAV platform used to survey breeding seabird colonies, capturing high-resolution RGB imagery for semi‐automated classification and accurate counting of gulls with minimal disturbance.",
D286,o4-mini,directive,9.43288278579712,NA,NA,Drone,Multispectral,"A DJI Matrice 100 drone equipped with a Micasense Red Edge multispectral camera was used to evaluate soybean physiological processes and vegetation status in microplot trials via NDVI and NDRE indices to assess the influence of biologically active substances across growth stages, with laboratory analyses for comparison.",
D287,o4-mini,directive,4.924402952194214,NA,NA,Drone,RGB,The UAV was used to acquire high-spatial-resolution imagery to verify and produce reference data for fractional vegetation cover estimation from satellite data.,
