"","iso_a3","name","VRM_mean"
"138","ITA","Italy",0.00543891367395453
"139","ISR","Israel",0.00104126345528736
"140","PSE","Palestine",0.00375157513190061
"141","IRL","Ireland",0.000723421369019768
"142","IRQ","Iraq",0.000544800833364713
"143","IRN","Iran",0.00280746716780489
"144","IDN","Indonesia",0.0036322398425461
"145","IND","India",0.00298531824167169
"146","ISL","Iceland",0.00130822259404037
"147","HUN","Hungary",0.000426616243273132
"148","HND","Honduras",0.00507187547932104
"149","HTI","Haiti",0.0038698587929556
"150","GUY","Guyana",0.000987261727768782
"151","GNB","Guinea-Bissau",0.000133377550082514
"152","GIN","Guinea",0.0012604842913634
"153","GTM","Guatemala",0.00415889467680804
"154","GRD","Grenada",0.000326090717862826
"155","GRC","Greece",0.00429737806377697
"156","GHA","Ghana",0.000328194729335924
"157","DEU","Germany",0.00103550198843097
"158","GEO","Georgia",0.00973781705833971
"159","GMB","Gambia",2.11464709233648e-05
"160","GAB","Gabon",0.0013241216568401
"161","-99","France",0.00206369153740996
"162","SPM","St. Pierre and Miquelon",7.72392983587148e-05
"163","WLF","Wallis and Futuna Is.",9.96107337414287e-05
"164","MAF","St-Martin",0.000245686183916405
"165","BLM","St-Barthélemy",6.97117357049137e-05
"166","PYF","Fr. Polynesia",0.00048182261005536
"167","NCL","New Caledonia",0.005445532477097
"168","ATF","Fr. S. Antarctic Lands",0.00578217055382473
"169","ALA","Åland",3.74006997769053e-05
"170","FIN","Finland",0.000243073980961774
"171","FJI","Fiji",0.00289252286311239
"172","ETH","Ethiopia",0.00250589885149185
"173","EST","Estonia",7.57017885689493e-05
"174","ERI","Eritrea",0.00362118886346651
"175","GNQ","Eq. Guinea",0.00201795553193034
"176","SLV","El Salvador",0.00346592934802175
"177","EGY","Egypt",0.000480647000668634
"178","ECU","Ecuador",0.0051931668494333
"179","DOM","Dominican Rep.",0.00317959321119301
"180","DMA","Dominica",0.00299002516840119
"181","DJI","Djibouti",0.002235746657243
"182","GRL","Greenland",6.22925182515334e-05
"183","FRO","Faeroe Is.",0.00404839066322893
"184","DNK","Denmark",7.69173424326736e-05
"185","CZE","Czechia",0.00117490669914619
"186","-99","N. Cyprus",0.000386439642170444
"187","CYP","Cyprus",0.00339169444002133
"188","CUB","Cuba",0.000951244328260915
"189","HRV","Croatia",0.00187198321322545
"190","CIV","Côte d'Ivoire",0.000376764015964
"191","CRI","Costa Rica",0.00392054962755467
"192","COD","Dem. Rep. Congo",0.000711750725410611
"193","COG","Congo",0.000669115384973257
"194","COM","Comoros",0.000334610410368441
"195","COL","Colombia",0.00323343801904616
"196","CHN","China",0.00523374521506612
"197","MAC","Macao",0.000833596743177623
"198","HKG","Hong Kong",0.00163801370945293
"199","CHL","Chile",0.00676973368044608
"200","TCD","Chad",0.000425421522252151
"201","CAF","Central African Rep.",0.000227645929887662
"202","CPV","Cabo Verde",0.00362469838000834
"203","CAN","Canada",0.0018059484131346
"204","CMR","Cameroon",0.00132968586347959
"205","KHM","Cambodia",0.000735384325028348
"206","MMR","Myanmar",0.00569340956026792
"207","BDI","Burundi",0.00324492666046493
"208","BFA","Burkina Faso",4.62473342954931e-05
"209","BGR","Bulgaria",0.0030412086577117
"210","BRN","Brunei",0.0027611443256319
"211","BRA","Brazil",0.000919963384256926
"212","BWA","Botswana",2.26422262045583e-05
"213","BIH","Bosnia and Herz.",0.00516124525731559
"214","BOL","Bolivia",0.00296674367444212
"215","BTN","Bhutan",0.0193579784594476
"216","BEN","Benin",0.000117278290677599
"217","BLZ","Belize",0.00174675526634221
"218","BEL","Belgium",0.000433867231896286
"219","BLR","Belarus",8.20110368975717e-05
"220","BRB","Barbados",2.0830979508446e-05
"221","BGD","Bangladesh",0.000376299930627971
"222","BHR","Bahrain",5.70060956306406e-06
"223","BHS","Bahamas",5.14595199597857e-06
"224","AZE","Azerbaijan",0.00367791089027337
"225","AUT","Austria",0.00918268947072832
"226","AUS","Australia",0.000365937456949325
"227","-99","Indian Ocean Ter.",8.07464120953227e-05
"228","HMD","Heard I. and McDonald Is.",0.00045571794015431
"229","NFK","Norfolk Island",3.44785795789448e-05
"230","-99","Ashmore and Cartier Is.",0
"231","ARM","Armenia",0.00531003403173397
"232","ARG","Argentina",0.00135214489746327
"233","ATG","Antigua and Barb.",0.000135862378670026
"234","AGO","Angola",0.000582996274926094
"235","AND","Andorra",0.0179163310676813
"236","DZA","Algeria",0.000545611222990842
"237","ALB","Albania",0.00743090629111975
"238","AFG","Afghanistan",0.00658448538978676
"239","-99","Siachen Glacier",0.0196371385827661
"240","ATA","Antarctica",NA
"241","SXM","Sint Maarten",0.000245686183916405
"242","TUV","Tuvalu",5.76978163024933e-08
